Name,Location,Hometype,Max_guest,Home_summary,Price,Amenities,Reviewnumber,Reviewstar
"Private room&bath, Next to St. Market #504 (??????????)",Jongno-gu,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$37 per night,"['Free parking on premises', 'Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer']",100,Rating 5 out of 5
[Myeong-dong] Line friends house,??????????,ENTIRE LOFT,6 guests,"['2 bedrooms', '3 beds', '1 bath']",$49 per night,"['Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Hangers']",31,Rating 4.5 out of 5
[SALE]StudioApt/Budget@SeoulStn,Deungchon 1(il)-dong,ENTIRE HOUSE,2 guests,"['1 bedroom', '2 beds', '1 bath']",$18 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Hangers', 'Essentials']",102,Rating 4 out of 5
21 - Private cozy loft near Metro station,Yongsan-gu,ENTIRE LOFT,4 guests,"['1 bedroom', '2 beds', '1 bath']",$39 per night,"['Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer']",94,Rating 5 out of 5
"USEE 1: Nice & clean studio, Itaewon,Yongsan",Jung-gu,ENTIRE HOUSE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$36 per night,"['Kitchen', 'Wifi', 'Hair dryer', 'Hangers', 'Essentials', 'Shampoo']",101,Rating 4.5 out of 5
Cozy flat near Metro with priv. kitchen&bath&toilt,Yongsan-gu,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$12 per night,"['Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV']",72,Rating 4.5 out of 5
Cheap price Good public transit comfortable Studio,Yongsan-gu,ENTIRE APARTMENT,3 guests,"['1 bedroom', '1 bed', '1 bath']",$34 per night,"['Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer']",76,Rating 4.5 out of 5
+Seoul stn. 5min Free Home WiFi&Egg,Jongno-gu,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$52 per night,"['Free parking on premises', 'Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer']",167,Rating 5 out of 5
MyeongDong ??Basecamp802??+Free WiFi,Mapo-gu,ENTIRE APARTMENT,3 guests,"['1 bedroom', '2 beds', '1 bath']",$30 per night,"['Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV']",94,Rating 4.5 out of 5
"Hongik Univ(Hongdae) station 3min, Spacious 3bdr",Mapo-gu,ENTIRE APARTMENT,7 guests,"['3 bedrooms', '5 beds', '1 bath']",$92 per night,"['Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer', 'Cable TV']",150,Rating 5 out of 5
